ProviderID,HospitalName,Address,City,State,ZipCode,HospitalOverallRating,MortalityNationalComparison,SafetyOfCareNationalComparison,ReadmissionNationalComparison,PatientExperienceNationalComparison,EffectivenessOfCareNationalComparison,TimelinessOfCareNationalComparison,EfficientUseOfMedicalImagingNationalComparison,AverageEffectiveCareScore,AverageReadmissionScore,SafetyGrade,YelpRating
50007,MILLS-PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,4,Above the National average,Same as the National average,Above the National average,Above the National average,Above the National average,Same as the National average,Same as the National average,87.17391304347827,12.507142857142856,A,5.0
50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,3,Same as the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,Below the National average,Below the National average,96.42857142857143,13.685714285714285,B,2.5
50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,2,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,91.92,15.008333333333338,C,3.0
50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,2,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Below the National average,Below the National average,100.5909090909091,15.618181818181819,D,2.0
50039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,3,Same as the National average,Above the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,Above the National average,91.45833333333331,14.557142857142859,A,3.5
50084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,2,Below the National average,Same as the National average,Below the National average,Below the National average,Above the National average,Below the National average,Same as the National average,103.32,14.442857142857143,C,2.5
50101,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,98.61904761904762,14.590909090909088,B,3.0
50108,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,CA,95816,4,Same as the National average,Same as the National average,Above the National average,Same as the National average,Above the National average,Below the National average,Above the National average,98.71428571428572,12.821428571428573,B,3.0
50179,EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA,95382,3,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,89.0,14.135714285714288,B,2.0
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,4,Same as the National average,Above the National average,Above the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,89.125,14.16666666666667,C,3.0
50248,NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BOULEVARD,SALINAS,CA,93906,3,Same as the National average,Same as the National average,Same as the National average,Below the National average,Above the National average,Below the National average,Same as the National average,94.58064516129032,14.4875,A,2.5
50254,MARSHALL MEDICAL CENTER,1100 MARSHALL WAY,PLACERVILLE,CA,95667,4,Same as the National average,Above the National average,Same as the National average,Above the National average,Above the National average,Same as the National average,Same as the National average,89.37037037037037,14.141666666666667,B,3.0
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,3,Below the National average,Above the National average,Above the National average,Below the National average,Above the National average,Below the National average,Above the National average,91.09523809523809,14.057142857142859,A,3.5
50301,UKIAH VALLEY MEDICAL CENTER,275 HOSPITAL DRIVE,UKIAH,CA,95482,3,Same as the National average,Below the National average,Above the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,78.45,14.509090909090904,A,3.25
